iter	Passed	Remaining
0	151	151106
1	160	79937
2	168	55993
3	178	44322
4	186	37067
5	195	32436
6	202	28754
7	212	26333
8	219	24197
9	227	22520
10	235	21136
11	243	20035
12	251	19101
13	259	18306
14	265	17419
15	271	16697
16	275	15942
17	279	15271
18	286	14787
19	290	14238
20	293	13689
21	296	13180
22	300	12781
23	305	12428
24	309	12071
25	312	11723
26	320	11543
27	325	11311
28	329	11039
29	336	10888
30	340	10657
31	344	10423
32	351	10300
33	356	10138
34	362	9982
35	369	9888
36	374	9741
37	379	9606
38	386	9530
39	392	9413
40	396	9278
41	402	9177
42	406	9056
43	410	8920
44	417	8858
45	422	8753
46	425	8633
47	431	8567
48	436	8466
49	439	8356
50	443	8260
51	449	8197
52	453	8100
53	456	7996
54	460	7919
55	466	7862
56	470	7779
57	473	7697
58	479	7644
59	483	7581
60	488	7516
61	492	7452
62	497	7405
63	501	7334
64	505	7265
65	509	7213
66	513	7156
67	517	7095
68	521	7034
69	525	6983
70	529	6923
71	532	6866
72	536	6810
73	540	6765
74	546	6737
75	551	6700
76	557	6680
77	564	6673
78	571	6657
79	577	6645
80	585	6645
81	592	6635
82	599	6619
83	605	6605
84	612	6598
85	619	6581
86	626	6572
87	632	6550
88	638	6538
89	646	6535
90	652	6521
91	657	6486
92	661	6447
93	664	6406
94	668	6367
95	672	6334
96	677	6307
97	681	6270
98	684	6232
99	689	6202
100	692	6166
101	696	6129
102	699	6094
103	703	6060
104	707	6026
105	710	5993
106	714	5960
107	718	5931
108	722	5905
109	726	5874
110	729	5843
111	734	5821
112	737	5791
113	741	5761
114	744	5731
115	748	5703
116	752	5679
117	756	5653
118	760	5626
119	764	5603
120	768	5583
121	772	5557
122	775	5530
123	779	5509
124	784	5488
125	789	5474
126	793	5451
127	796	5428
128	801	5408
129	804	5384
130	808	5360
131	811	5339
132	816	5320
133	820	5300
134	823	5277
135	827	5259
136	831	5239
137	836	5225
138	840	5207
139	844	5189
140	849	5175
141	853	5156
142	857	5139
143	861	5120
144	865	5106
145	869	5088
146	874	5072
147	878	5054
148	882	5038
149	885	5019
150	889	5000
151	892	4979
152	896	4964
153	900	4948
154	904	4930
155	908	4913
156	912	4900
157	916	4883
158	919	4864
159	922	4845
160	925	4825
161	929	4809
162	933	4793
163	936	4776
164	940	4761
165	945	4752
166	950	4739
167	954	4726
168	958	4713
169	963	4703
170	967	4688
171	970	4672
172	975	4661
173	979	4649
174	983	4637
175	987	4623
176	992	4616
177	998	4612
178	1002	4600
179	1006	4585
180	1009	4566
181	1013	4554
182	1016	4538
183	1019	4521
184	1022	4504
185	1025	4487
186	1028	4469
187	1030	4452
188	1034	4439
189	1038	4425
190	1042	4416
191	1046	4403
192	1049	4389
193	1053	4375
194	1057	4363
195	1061	4354
196	1065	4341
197	1068	4327
198	1072	4316
199	1076	4306
200	1080	4293
201	1083	4280
202	1087	4269
203	1092	4260
204	1096	4252
205	1100	4241
206	1104	4229
207	1108	4220
208	1112	4209
209	1115	4197
210	1119	4187
211	1123	4177
212	1127	4166
213	1131	4154
214	1134	4142
215	1138	4131
216	1142	4121
217	1145	4110
218	1150	4101
219	1154	4094
220	1160	4088
221	1164	4081
222	1168	4072
223	1174	4068
224	1178	4060
225	1183	4051
226	1187	4043
227	1191	4035
228	1196	4027
229	1200	4018
230	1205	4011
231	1210	4008
232	1214	3997
233	1218	3988
234	1222	3978
235	1225	3966
236	1229	3956
237	1232	3945
238	1236	3937
239	1240	3927
240	1243	3917
241	1247	3907
242	1251	3898
243	1255	3890
244	1259	3880
245	1262	3870
246	1266	3860
247	1270	3852
248	1273	3842
249	1277	3832
250	1281	3823
251	1285	3815
252	1289	3806
253	1292	3796
254	1296	3787
255	1300	3779
256	1305	3774
257	1309	3765
258	1312	3756
259	1316	3747
260	1320	3740
261	1324	3730
262	1329	3724
263	1334	3720
264	1338	3713
265	1343	3705
266	1346	3697
267	1352	3694
268	1357	3688
269	1361	3680
270	1366	3676
271	1371	3671
272	1376	3664
273	1381	3661
274	1387	3657
275	1391	3650
276	1396	3645
277	1404	3646
278	1409	3641
279	1414	3636
280	1418	3630
281	1424	3627
282	1429	3620
283	1433	3613
284	1438	3609
285	1444	3605
286	1449	3601
287	1453	3594
288	1457	3586
289	1463	3583
290	1468	3578
291	1473	3572
292	1477	3566
293	1482	3560
294	1486	3553
295	1490	3546
296	1496	3541
297	1500	3535
298	1504	3527
299	1510	3524
300	1514	3517
301	1519	3512
302	1523	3505
303	1529	3502
304	1533	3494
305	1537	3486
306	1542	3480
307	1546	3475
308	1554	3475
309	1559	3471
310	1563	3464
311	1567	3457
312	1572	3451
313	1576	3445
314	1581	3439
315	1586	3434
316	1591	3429
317	1596	3424
318	1602	3421
319	1608	3418
320	1614	3415
321	1620	3411
322	1625	3407
323	1629	3399
324	1635	3396
325	1640	3392
326	1647	3389
327	1652	3384
328	1656	3378
329	1661	3373
330	1666	3368
331	1671	3363
332	1676	3358
333	1682	3355
334	1685	3346
335	1690	3341
336	1696	3337
337	1701	3332
338	1705	3325
339	1709	3319
340	1715	3314
341	1719	3308
342	1724	3303
343	1730	3299
344	1735	3295
345	1740	3290
346	1748	3289
347	1751	3282
348	1755	3275
349	1760	3269
350	1764	3263
351	1768	3255
352	1771	3247
353	1775	3240
354	1779	3233
355	1782	3224
356	1786	3216
357	1790	3210
358	1796	3207
359	1800	3201
360	1804	3194
361	1809	3188
362	1814	3183
363	1817	3176
364	1822	3169
365	1827	3166
366	1831	3159
367	1835	3152
368	1840	3147
369	1845	3142
370	1849	3136
371	1853	3129
372	1859	3124
373	1863	3118
374	1867	3111
375	1871	3106
376	1876	3100
377	1880	3093
378	1883	3086
379	1888	3081
380	1893	3076
381	1897	3069
382	1901	3063
383	1906	3058
384	1911	3052
385	1915	3046
386	1918	3039
387	1925	3036
388	1929	3030
389	1933	3023
390	1939	3020
391	1943	3015
392	1947	3008
393	1952	3002
394	1957	2997
395	1961	2991
396	1965	2985
397	1970	2979
398	1975	2976
399	1980	2971
400	1985	2965
401	1990	2960
